"日期","收盘","开盘","高","低","涨跌幅"
"2011年4月1日","0.9636","0.9699","0.9706","0.9624","-0.68%"
"2011年3月31日","0.9702","0.9714","0.9730","0.9683","-0.09%"
"2011年3月30日","0.9711","0.9747","0.9753","0.9685","-0.31%"
"2011年3月29日","0.9741","0.9780","0.9787","0.9737","-0.36%"
"2011年3月28日","0.9776","0.9817","0.9824","0.9741","-0.33%"
"2011年3月25日","0.9808","0.9764","0.9830","0.9743","0.45%"
"2011年3月24日","0.9764","0.9812","0.9826","0.9729","-0.52%"
"2011年3月23日","0.9815","0.9804","0.9846","0.9789","0.07%"
"2011年3月22日","0.9808","0.9783","0.9814","0.9743","0.26%"
"2011年3月21日","0.9783","0.9851","0.9854","0.9748","-0.64%"
"2011年3月18日","0.9846","0.9855","0.9868","0.9804","-0.10%"
"2011年3月17日","0.9856","0.9936","0.9941","0.9834","-0.50%"
"2011年3月16日","0.9906","0.9851","0.9970","0.9807","0.60%"
"2011年3月15日","0.9847","0.9738","0.9976","0.9734","1.12%"
"2011年3月14日","0.9738","0.9735","0.9766","0.9709","0.22%"
"2011年3月11日","0.9717","0.9755","0.9803","0.9703","-0.39%"
"2011年3月10日","0.9755","0.9688","0.9770","0.9684","0.69%"
"2011年3月9日","0.9688","0.9714","0.9716","0.9666","-0.27%"
"2011年3月8日","0.9714","0.9725","0.9748","0.9705","-0.12%"
"2011年3月7日","0.9726","0.9733","0.9746","0.9700","0.07%"
"2011年3月4日","0.9719","0.9721","0.9745","0.9698","-0.03%"
"2011年3月3日","0.9722","0.9724","0.9754","0.9713","-0.04%"
"2011年3月2日","0.9726","0.9744","0.9779","0.9708","-0.18%"
"2011年3月1日","0.9744","0.9717","0.9758","0.9685","0.28%"
"2011年2月28日","0.9717","0.9786","0.9790","0.9708","-0.62%"
"2011年2月25日","0.9778","0.9830","0.9834","0.9775","-0.54%"
"2011年2月24日","0.9831","0.9892","0.9905","0.9816","-0.64%"
"2011年2月23日","0.9894","0.9903","0.9962","0.9859","-0.04%"
"2011年2月22日","0.9898","0.9823","0.9919","0.9822","0.71%"
"2011年2月21日","0.9828","0.9858","0.9873","0.9820","-0.34%"
"2011年2月18日","0.9862","0.9847","0.9876","0.9820","0.13%"
"2011年2月17日","0.9849","0.9852","0.9863","0.9817","-0.01%"
"2011年2月16日","0.9850","0.9898","0.9906","0.9844","-0.48%"
"2011年2月15日","0.9898","0.9891","0.9904","0.9848","0.05%"
"2011年2月14日","0.9893","0.9894","0.9903","0.9845","0.21%"
"2011年2月11日","0.9872","0.9957","0.9988","0.9862","-0.90%"
"2011年2月10日","0.9962","0.9936","0.9988","0.9930","0.26%"
"2011年2月9日","0.9936","0.9954","0.9959","0.9912","-0.13%"
"2011年2月8日","0.9949","0.9911","0.9980","0.9866","0.39%"
"2011年2月7日","0.9910","0.9886","0.9911","0.9847","0.31%"
"2011年2月4日","0.9879","0.9907","0.9934","0.9829","-0.31%"
"2011年2月3日","0.9910","0.9882","0.9923","0.9853","0.31%"
"2011年2月2日","0.9879","0.9907","0.9916","0.9857","-0.26%"
"2011年2月1日","0.9905","1.0010","1.0014","0.9898","-1.07%"
"2011年1月31日","1.0012","1.0017","1.0060","0.9961","0.09%"
"2011年1月28日","1.0003","0.9934","1.0019","0.9930","0.71%"
"2011年1月27日","0.9932","0.9940","0.9986","0.9923","-0.20%"
